CAS,CID,SMILES,Formula,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRings,FlashPoint_C,LFL_percent,UFL_percent,HeatOfComb_kJ_mol,BoilingPoint_C,MeltingPoint_C,AutoignitionTemp_C,VaporPressure_mmHg,Density_g_cm3,Y_NFPA_Health,Y_NFPA_Fire,Y_NFPA_React,Y_GHS_Signal,Y_GHS_H_Codes
106-35-4,7802,CCCCC(=O)CC,C7H14O,114.188,2.1557,17.07,0,1,0,115.0,1.4,8.8,,297.0,-38.0,,4.0,0.818,2.0,2.0,0.0,Warning,"H226, H303, H305, H315, H319, H320, H332, H335, H336"
106-43-4,7810,CC1=CC=C(C=C1)Cl,C7H7Cl,126.586,2.64842,0.0,0,0,1,49.0,,,-3754.0,162.4,7.5,595.0,2.69,1.0697,,,,Warning,"H226, H317, H320, H331, H332, H360, H400, H401, H411"
106-92-3,7838,C=CCOCC1CO1,C6H10O2,114.144,0.5878,21.76,0,2,1,135.0,,,,309.0,-148.0,264.0,3.6,0.969,,,,Danger,"H226, H302, H313, H315, H317, H318, H319, H330, H331, H332, H335, H336, H341, H351, H361, H370, H372, H402, H412"
107-87-9,7895,CCCC(=O)C,C5H10O,86.134,1.3755,17.07,0,1,0,45.0,1.56,8.7,3099.4,212.0,-108.0,941.0,12.0,0.809,2.0,3.0,0.0,Danger,"H225, H302, H305, H316, H319, H331, H333, H335, H336"
108-48-5,7937,CC1=NC(=CC=C1)C,C7H9N,107.156,1.69844,12.89,0,1,1,33.0,,,,144.0,-5.8,,5.65,0.9252,,,,Warning,"H226, H302, H315, H319, H335"
108-67-8,7947,CC1=CC(=CC(=C1)C)C,C9H12,120.195,2.61186,0.0,0,0,1,122.0,,,,329.0,-49.0,1039.0,2.0,0.86,2.0,2.0,0.0,Warning,"H226, H304, H315, H319, H320, H335, H336, H372, H401, H411"
108-86-1,7961,C1=CC=C(C=C1)Br,C6H5Br,157.01,2.4491,0.0,0,0,1,123.8,,,-8.0,313.0,-24.0,1049.0,5.0,1.49,2.0,2.0,0.0,Warning,"H226, H315, H331, H373, H401, H411"
108-87-2,7962,CC1CCCCC1,C7H14,98.189,2.5866,0.0,0,0,1,25.0,1.1,6.7,4565.3,213.8,-194.8,482.0,83.29,0.77,1.0,3.0,0.0,Danger,"H225, H302, H304, H315, H316, H320, H332, H335, H336, H373, H400, H401, H410, H411"
109-94-4,8025,CCOC=O,C3H6O2,74.079,0.1793,26.3,0,2,0,-4.0,2.8,16.0,-9.0,129.6,-110.0,851.0,200.0,0.922,2.0,3.0,0.0,Danger,"H225, H302, H319, H332, H333, H335, H336, H370"
110-15-6,1110,C(CC(=O)O)C(=O)O,C4H6O4,118.088,-0.0642,74.6,2,2,0,160.0,,,-356.32,455.0,363.0,,1.9e-07,1.572,,,,Danger,"H318, H319"
